latitude,longitude,elevation
16.51866978,80.52364534,23
16.52190372,80.52849624,23
16.53969036,80.53900653,18
16.53969036,80.53981502,18
16.53888188,80.53981502,38
16.53969036,80.5406235,22
16.53888188,80.5406235,18
16.53807339,80.5406235,18
16.53726491,80.5406235,22
16.53807339,80.54143198,18
16.53726491,80.54143198,18
16.53726491,80.54224047,18
16.53645642,80.54224047,18
16.53564794,80.54224047,18
16.53483946,80.54304895,18
16.53403097,80.54304895,18
16.53322249,80.54304895,21
16.53322249,80.54385743,18
16.53241401,80.54385743,18
16.53160552,80.54385743,20
16.53160552,80.54466592,18
16.53079704,80.54466592,20
16.53079704,80.5454744,18
16.52998855,80.5454744,18
16.52998855,80.54628289,18
16.52918007,80.54628289,18
16.52918007,80.54709137,20
16.52837159,80.54709137,18
16.52837159,80.54789985,18
16.5275631,80.54789985,18
16.5275631,80.54870834,20
16.52675462,80.54870834,18
16.52675462,80.54951682,22
16.52594614,80.54951682,18
16.52513765,80.54951682,19
16.53969036,80.5503253,22
16.53160552,80.5503253,20
16.52594614,80.5503253,19
16.52513765,80.5503253,18
16.52432917,80.5503253,20
16.53969036,80.55113379,26
16.52513765,80.55113379,18
16.52432917,80.55113379,18
16.53888188,80.55194227,23
16.52918007,80.55194227,18
16.53807339,80.55275076,20
16.52352068,80.55275076,23
16.5227122,80.55355924,18
16.52190372,80.55355924,20
16.53969036,80.55436772,22
16.53726491,80.55436772,22
16.52190372,80.55436772,18
16.52109523,80.55436772,22
16.53969036,80.55517621,20
16.53726491,80.55517621,22
16.52352068,80.55517621,18
16.52109523,80.55517621,18
16.52028675,80.55517621,23
16.53969036,80.55598469,18
16.53888188,80.55598469,18
16.53645642,80.55598469,18
16.5227122,80.55598469,18
16.52028675,80.55598469,18
16.53969036,80.55679317,18
16.53888188,80.55679317,18
16.53807339,80.55679317,20
16.53645642,80.55679317,20
16.53564794,80.55679317,18
16.52190372,80.55679317,18
16.51947827,80.55679317,18
16.53969036,80.55760166,18
16.53888188,80.55760166,18
16.53807339,80.55760166,21
16.53726491,80.55760166,22
16.53645642,80.55760166,21
16.53564794,80.55760166,21
16.53483946,80.55760166,19
16.53403097,80.55760166,18
16.53322249,80.55760166,18
16.52109523,80.55760166,18
16.51947827,80.55760166,18
16.51866978,80.55760166,19
16.53969036,80.55841014,18
16.53888188,80.55841014,18
16.53807339,80.55841014,23
16.53726491,80.55841014,24
16.53564794,80.55841014,21
16.53483946,80.55841014,22
16.53403097,80.55841014,21
16.53322249,80.55841014,19
16.53241401,80.55841014,18
