latitude,longitude,elevation
16.51866978,80.52364534,24
16.52190372,80.52849624,25
16.53969036,80.53900653,16
16.53969036,80.53981502,19
16.53888188,80.53981502,39
16.53969036,80.5406235,24
16.53888188,80.5406235,16
16.53807339,80.5406235,16
16.53726491,80.5406235,23
16.53807339,80.54143198,17
16.53726491,80.54143198,19
16.53726491,80.54224047,19
16.53645642,80.54224047,19
16.53564794,80.54224047,19
16.53483946,80.54304895,20
16.53403097,80.54304895,16
16.53322249,80.54304895,23
16.53322249,80.54385743,20
16.53241401,80.54385743,20
16.53160552,80.54385743,21
16.53160552,80.54466592,17
16.53079704,80.54466592,18
16.53079704,80.5454744,17
16.52998855,80.5454744,20
16.52998855,80.54628289,20
16.52918007,80.54628289,17
16.52918007,80.54709137,19
16.52837159,80.54709137,17
16.52837159,80.54789985,20
16.5275631,80.54789985,20
16.5275631,80.54870834,18
16.52675462,80.54870834,16
16.52675462,80.54951682,24
16.52594614,80.54951682,17
16.52513765,80.54951682,18
16.53969036,80.5503253,20
16.53160552,80.5503253,22
16.52594614,80.5503253,17
16.52513765,80.5503253,16
16.52432917,80.5503253,21
16.53969036,80.55113379,27
16.52513765,80.55113379,19
16.52432917,80.55113379,17
16.53888188,80.55194227,25
16.52918007,80.55194227,20
16.53807339,80.55275076,22
16.52352068,80.55275076,25
16.5227122,80.55355924,19
16.52190372,80.55355924,19
16.53969036,80.55436772,21
16.53726491,80.55436772,23
16.52190372,80.55436772,17
16.52109523,80.55436772,23
16.53969036,80.55517621,22
16.53726491,80.55517621,23
16.52352068,80.55517621,20
16.52109523,80.55517621,20
16.52028675,80.55517621,21
16.53969036,80.55598469,19
16.53888188,80.55598469,16
16.53645642,80.55598469,19
16.5227122,80.55598469,19
16.52028675,80.55598469,16
16.53969036,80.55679317,16
16.53888188,80.55679317,19
16.53807339,80.55679317,19
16.53645642,80.55679317,22
16.53564794,80.55679317,16
16.52190372,80.55679317,20
16.51947827,80.55679317,17
16.53969036,80.55760166,17
16.53888188,80.55760166,17
16.53807339,80.55760166,19
16.53726491,80.55760166,21
16.53645642,80.55760166,19
16.53564794,80.55760166,20
16.53483946,80.55760166,21
16.53403097,80.55760166,20
16.53322249,80.55760166,19
16.52109523,80.55760166,20
16.51947827,80.55760166,19
16.51866978,80.55760166,21
16.53969036,80.55841014,16
16.53888188,80.55841014,20
16.53807339,80.55841014,24
16.53726491,80.55841014,25
16.53564794,80.55841014,20
16.53483946,80.55841014,20
16.53403097,80.55841014,23
16.53322249,80.55841014,18
16.53241401,80.55841014,20
16.53160552,80.55841014,20
16.53079704,80.55841014,17
16.52998855,80.55841014,17
16.52918007,80.55841014,17
16.51947827,80.55841014,17
16.51866978,80.55841014,17
16.5178613,80.55841014,21
16.53969036,80.55921863,17
16.53888188,80.55921863,16
16.53807339,80.55921863,22
16.53726491,80.55921863,20
16.53645642,80.55921863,20
16.53564794,80.55921863,23
16.53483946,80.55921863,24
16.53403097,80.55921863,24
16.53322249,80.55921863,20
16.53241401,80.55921863,22
16.53160552,80.55921863,17
16.53079704,80.55921863,19
16.52998855,80.55921863,20
16.52918007,80.55921863,19
16.52837159,80.55921863,20
16.5275631,80.55921863,17
16.52675462,80.55921863,19
16.52594614,80.55921863,20
16.52513765,80.55921863,16
16.52432917,80.55921863,17
16.52352068,80.55921863,21
16.51866978,80.55921863,17
16.5178613,80.55921863,20
16.51705281,80.55921863,17
16.53969036,80.56002711,17
16.53888188,80.56002711,19
16.53807339,80.56002711,16
16.53726491,80.56002711,24
16.53645642,80.56002711,27
16.53564794,80.56002711,16
16.53483946,80.56002711,21
16.53403097,80.56002711,22
16.53322249,80.56002711,23
16.53241401,80.56002711,18
16.53160552,80.56002711,16
16.53079704,80.56002711,16
16.52998855,80.56002711,19
16.52918007,80.56002711,16
16.52837159,80.56002711,16
16.5275631,80.56002711,16
16.52675462,80.56002711,19
16.52594614,80.56002711,16
16.52513765,80.56002711,20
16.52432917,80.56002711,16
16.52352068,80.56002711,20
16.5227122,80.56002711,20
16.52190372,80.56002711,20
16.52109523,80.56002711,21
16.51705281,80.56002711,19
16.53969036,80.56083559,19
16.53888188,80.56083559,16
16.53807339,80.56083559,20
16.53726491,80.56083559,20
16.53645642,80.56083559,23
16.52998855,80.56083559,16
16.52918007,80.56083559,19
16.52837159,80.56083559,16
16.5275631,80.56083559,17
16.52675462,80.56083559,19
16.52594614,80.56083559,17
16.52513765,80.56083559,16
16.52432917,80.56083559,20
16.52352068,80.56083559,19
16.5227122,80.56083559,16
16.52190372,80.56083559,20
16.52109523,80.56083559,20
16.52028675,80.56083559,17
16.51947827,80.56083559,17
16.51705281,80.56083559,20
16.51624433,80.56083559,19
16.53969036,80.56164408,19
16.53888188,80.56164408,17
16.53807339,80.56164408,20
16.53726491,80.56164408,17
16.53645642,80.56164408,22
16.5275631,80.56164408,20
16.52675462,80.56164408,20
16.52594614,80.56164408,17
16.52513765,80.56164408,19
16.52432917,80.56164408,19
16.52352068,80.56164408,16
16.5227122,80.56164408,19
16.52190372,80.56164408,16
16.52109523,80.56164408,19
16.52028675,80.56164408,17
16.51947827,80.56164408,19
16.51866978,80.56164408,16
16.5178613,80.56164408,16
16.51705281,80.56164408,17
16.51624433,80.56164408,19
16.51543585,80.56164408,19
16.53969036,80.56245256,17
16.53888188,80.56245256,19
16.53807339,80.56245256,19
16.53726491,80.56245256,16
16.53645642,80.56245256,21
16.52352068,80.56245256,19
16.5227122,80.56245256,17
16.52190372,80.56245256,17
16.51947827,80.56245256,20
16.51866978,80.56245256,16
16.5178613,80.56245256,19
16.51705281,80.56245256,19
16.51624433,80.56245256,20
16.51543585,80.56245256,19
16.51462736,80.56245256,16
16.51381888,80.56245256,21
16.53969036,80.56326104,16
16.53888188,80.56326104,20
16.53807339,80.56326104,20
16.53726491,80.56326104,17
16.53645642,80.56326104,16
16.53564794,80.56326104,19
16.5227122,80.56326104,23
16.52190372,80.56326104,18
16.52109523,80.56326104,20
16.5178613,80.56326104,19
16.51705281,80.56326104,16
16.51624433,80.56326104,20
16.51543585,80.56326104,16
16.51462736,80.56326104,20
16.51381888,80.56326104,19
16.53969036,80.56406953,19
16.53888188,80.56406953,19
16.53807339,80.56406953,17
16.53726491,80.56406953,20
16.53645642,80.56406953,17
16.53564794,80.56406953,17
16.53483946,80.56406953,16
16.53403097,80.56406953,17
16.51866978,80.56406953,16
16.5178613,80.56406953,16
16.51705281,80.56406953,17
16.51624433,80.56406953,20
16.51543585,80.56406953,20
16.51462736,80.56406953,20
16.51381888,80.56406953,20
16.5130104,80.56406953,20
16.53969036,80.56487801,17
16.53888188,80.56487801,17
16.53807339,80.56487801,19
16.53726491,80.56487801,20
16.53645642,80.56487801,17
16.53564794,80.56487801,19
16.53483946,80.56487801,20
16.53403097,80.56487801,16
16.5178613,80.56487801,19
16.51705281,80.56487801,17
16.51624433,80.56487801,16
16.51543585,80.56487801,16
16.51462736,80.56487801,16
16.51381888,80.56487801,19
16.5130104,80.56487801,17
16.51220191,80.56487801,16
16.51139343,80.56487801,20
16.51058494,80.56487801,19
16.53969036,80.5656865,16
16.53888188,80.5656865,19
16.53807339,80.5656865,19
16.53726491,80.5656865,17
16.53645642,80.5656865,20
16.53564794,80.5656865,19
16.53483946,80.5656865,16
16.53403097,80.5656865,17
16.53322249,80.5656865,16
16.5178613,80.5656865,16
16.51705281,80.5656865,19
16.51624433,80.5656865,17
16.51381888,80.5656865,20
16.5130104,80.5656865,20
16.51220191,80.5656865,19
16.51139343,80.5656865,19
16.51058494,80.5656865,16
16.53969036,80.56649498,20
16.53888188,80.56649498,20
16.53807339,80.56649498,20
16.53726491,80.56649498,16
16.53645642,80.56649498,20
16.53564794,80.56649498,16
16.53483946,80.56649498,17
16.53403097,80.56649498,16
16.53322249,80.56649498,17
16.51705281,80.56649498,20
16.51624433,80.56649498,20
16.5130104,80.56649498,17
16.51220191,80.56649498,18
16.51139343,80.56649498,16
16.51058494,80.56649498,18
16.50977646,80.56649498,15
16.53969036,80.56730346,16
16.53888188,80.56730346,16
16.53807339,80.56730346,20
16.53726491,80.56730346,16
16.53645642,80.56730346,19
16.53564794,80.56730346,16
16.53483946,80.56730346,17
16.53403097,80.56730346,17
16.53322249,80.56730346,20
16.53241401,80.56730346,17
16.51705281,80.56730346,19
16.51624433,80.56730346,16
16.51543585,80.56730346,21
16.51139343,80.56730346,15
16.51058494,80.56730346,15
16.50977646,80.56730346,18
16.50896798,80.56730346,16
16.53969036,80.56811195,17
16.53888188,80.56811195,16
16.53807339,80.56811195,20
16.53726491,80.56811195,17
16.53645642,80.56811195,20
16.53564794,80.56811195,17
16.53483946,80.56811195,20
16.53403097,80.56811195,19
16.53322249,80.56811195,20
16.53241401,80.56811195,19
16.51705281,80.56811195,19
16.51624433,80.56811195,20
16.51543585,80.56811195,23
16.51058494,80.56811195,15
16.50977646,80.56811195,18
16.50896798,80.56811195,16
16.53969036,80.56892043,20
16.53888188,80.56892043,16
16.53807339,80.56892043,20
16.53726491,80.56892043,17
16.53645642,80.56892043,17
16.53564794,80.56892043,17
16.53483946,80.56892043,19
16.53403097,80.56892043,19
16.53322249,80.56892043,20
16.53241401,80.56892043,20
16.53160552,80.56892043,16
16.51947827,80.56892043,16
16.51866978,80.56892043,20
16.51705281,80.56892043,18
16.51624433,80.56892043,16
16.51543585,80.56892043,22
